City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
336,Uvira,CD,82.53,broken clouds,-3.4067,29.1458,Hotel Suzana
339,Porterville,US,81.75,clear sky,36.0652,-119.0168,"Holiday Inn Express & Suites Porterville, an IHG Hotel"
344,Nantucket,US,70.97,scattered clouds,41.2835,-70.0995,Jared Coffin House
347,Cherskiy,RU,70.68,few clouds,68.75,161.3,Gostinitsa
349,Sarab,IR,79.39,clear sky,38.6066,44.9883,مسجد امام رضا
358,Pasighat,IN,76.8,overcast clouds,28.0667,95.3333,Siang Guest House
359,Kudahuvadhoo,MV,83.57,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
361,Kostroma,RU,71.31,few clouds,57.7708,40.9344,"Otel' ""Ostrovskiy Prichal"""
362,Pierre,US,79.99,clear sky,44.3683,-100.351,Ramkota Hotel
364,Dongsheng,CN,83.52,overcast clouds,39.8161,109.9776,Crowne Plaza Ordos
366,Akropong,GH,76.6,overcast clouds,5.9746,-0.0854,Vip Lodge
367,Tura,IN,87.17,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
370,Andros Town,BS,80.56,few clouds,24.7,-77.7667,Hanks place
374,Maningrida,AU,80.55,few clouds,-12.0667,134.2667,Dhukurrdji Lodge
380,Sao Gabriel Da Cachoeira,BR,71.44,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
382,Russell,US,73.0,overcast clouds,32.3502,-85.1999,Macs
386,Gizo,SB,81.95,light rain,-8.103,156.8419,Imagination Island
387,Kankan,GN,77.25,few clouds,10.3854,-9.3057,Hotel Bate
389,Cefalu,IT,73.42,moderate rain,38.0386,14.0229,Hotel La Giara
391,Salinopolis,BR,77.68,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
393,Alugan,PH,83.64,overcast clouds,12.2188,125.4808,JM Lodge
395,Saint-Pierre,RE,80.24,light rain,-21.3393,55.4781,Lindsey Hôtel
396,Morondava,MG,79.03,clear sky,-20.2833,44.2833,La Case Bambou
413,Alibag,IN,89.67,broken clouds,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
414,Gat,IL,81.39,clear sky,31.61,34.7642,OlusHome
418,Katsuura,JP,73.51,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
422,Jambi,ID,88.72,broken clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
423,Nicoya,CR,74.86,overcast clouds,10.1483,-85.452,Guayacan Real
429,Clyde,US,70.57,clear sky,41.3042,-82.9752,Red Roof Inn Clyde
432,Sorso,IT,72.09,overcast clouds,40.8,8.5772,Eco's B&B
434,Daru,PG,77.22,overcast clouds,-9.0763,143.2092,Daru Lodge
437,Ligaya,PH,83.71,overcast clouds,12.6599,120.8923,Apo Reef Club
438,Bumba,CD,71.4,moderate rain,2.1833,22.4667,Hôtel Cape Town
439,Pahrump,US,87.44,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
440,Zhezkazgan,KZ,76.75,few clouds,47.8043,67.7144,Ul. Ranova 15-1 Kvartiry Posutochno.
443,Omboue,GA,79.95,overcast clouds,-1.5746,9.2618,Hotel Olako
448,Salym,RU,75.33,overcast clouds,60.0625,71.4789,Gostinitsa Salym
449,Starosubkhangulovo,RU,71.62,scattered clouds,53.1031,57.4423,"Gostinichnyy Kompleks ""Yulbars"""
454,Ushtobe,KZ,77.25,clear sky,45.2514,77.9838,"Gostinitsa ""Diyar"""
455,Caorle,IT,73.96,few clouds,45.5966,12.8758,Maxim
457,Balikpapan,ID,83.39,few clouds,-1.2675,116.8289,ibis Balikpapan
458,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
459,Namibe,AO,72.23,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
460,Karratha,AU,77.67,light rain,-20.7377,116.8463,ibis Styles Karratha
461,Skutec,CZ,73.27,clear sky,49.8435,15.9966,U Tří Sluncí
463,Khandyga,RU,74.48,overcast clouds,62.6667,135.6,Apel'sin
464,Jawa,JO,74.98,clear sky,31.8525,35.9393,دار الحاج عبدالله ابو صعيليك واولاده
466,Sragen,ID,89.49,light rain,-7.4264,111.0222,Graha Hotel Sragen
468,Vao,NC,71.71,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
470,Lazaro Cardenas,MX,79.57,overcast clouds,17.9583,-102.2,quinta antigua
472,Faranah,GN,74.35,broken clouds,10.0404,-10.7434,Chez mon oncle
473,Canutama,BR,72.88,overcast clouds,-6.5339,-64.3831,Hotel Jhennifer
475,Santa Rosa,PH,89.58,light rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
476,Riberalta,BO,70.79,scattered clouds,-10.9833,-66.1,Hotel Colonial
477,Tabuk,PH,88.27,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
486,Laibin,CN,89.26,clear sky,23.7,109.2667,GreenTree Alliance Laibin Railway Station Hotel
491,Malbug,PH,85.46,light rain,9.7327,123.3402,D Alegre Traveller's Inn
492,Vila Do Maio,CV,75.99,few clouds,15.1333,-23.2167,Hotel Marilu
494,Markala,ML,87.35,broken clouds,13.7021,-6.0659,Famille Abdoulaye Bana DIALLO
496,Acapulco,MX,81.21,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
500,Bowen,AU,70.02,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
505,Shingu,JP,72.59,overcast clouds,33.7333,135.9833,Shingu UI Hotel
506,Maicao,CO,78.28,overcast clouds,11.3832,-72.2432,Hotel Sancho
509,Samarai,PG,78.04,overcast clouds,-10.6167,150.6667,Nuli Sapi
511,Chitral,PK,86.85,clear sky,35.8462,71.7858,PTDC Motel Chitral
513,Atar,MR,88.0,clear sky,20.5169,-13.0499,Oumou Elghoura
516,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
517,Grand Gaube,MU,79.2,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
518,Sumenep,ID,86.47,broken clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
519,Cabedelo,BR,74.07,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
521,Vienna,AT,70.72,few clouds,48.2085,16.3721,Hotel Royal
526,Redlands,US,73.92,clear sky,34.0556,-117.1825,Dynasty Suites Redlands
532,Shenjiamen,CN,72.88,few clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
533,Etchojoa,MX,81.36,broken clouds,26.9167,-109.6333,Cuadra RT
542,Ionia,US,73.6,clear sky,42.9873,-85.0711,"American Inn & Suites Ionia, MI"
543,Ixtapa,MX,79.23,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
549,Perpignan,FR,70.43,clear sky,42.75,2.75,Le moulin a huile de l'agly
550,Along,IN,81.73,broken clouds,28.1667,94.7667,Hotel West
551,Natal,BR,74.05,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
552,Methoni,GR,80.46,clear sky,36.8197,21.7049,Methoni Beach Hotel
553,Asyut,EG,78.98,few clouds,27.181,31.1837,Florence Hotel Assiut
555,Mahibadhoo,MV,83.75,broken clouds,3.7833,72.9667,Omadhoo Inn
557,Miandrivazo,MG,80.1,few clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
559,Baglung,NP,84.47,broken clouds,28.2719,83.5898,"Hotel Peace Palace, Baglung, Nepal"
560,Tateyama,JP,73.42,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
564,Honiara,SB,80.37,broken clouds,-9.4333,159.95,Heritage Park Hotel
565,Lorengau,PG,81.97,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
568,Ambilobe,MG,88.27,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
569,Fare,PF,80.33,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
570,Aloleng,PH,85.48,overcast clouds,16.1307,119.7824,Agno Umbrella Rocks
571,Wajir,KE,84.16,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
572,Obidos,BR,72.99,few clouds,-1.9175,-55.5181,Hotel Amazônia Center
573,Kuvshinovo,RU,71.13,clear sky,57.0295,34.1725,Каменка
575,Athens,GR,84.27,clear sky,37.9795,23.7162,Novotel Athenes
577,Wucheng,CN,88.59,clear sky,29.6008,118.175,Xiuwu Restaurant
578,Lugovoy,KZ,89.44,scattered clouds,42.9472,72.7644,Ж.Д Вокзал Луговая
579,Horten,NO,75.2,scattered clouds,59.4155,10.4853,Thon Hotel Horten
583,Tabou,CI,77.67,moderate rain,4.423,-7.3528,hotêl doufoulougou
585,Pamanukan,ID,86.52,few clouds,-6.2842,107.8106,Paris Day Hotel Pamanukan
591,Sioux Falls,US,76.15,clear sky,43.55,-96.7003,"Holiday Inn Sioux Falls-City Centre, an IHG Hotel"
596,Osa,RU,72.32,clear sky,57.2829,55.4567,Гостиница Оса
601,Cockburn Town,TC,79.86,clear sky,21.4612,-71.1419,Osprey Beach Hotel
602,Vanersborg,SE,71.91,scattered clouds,58.3807,12.3234,Best Western Arena Hotell
603,Pontianak,ID,78.78,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
604,Havelock,US,75.94,overcast clouds,34.8791,-76.9013,Sherwood Motel
606,Labuhan,ID,86.09,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
610,Impfondo,CG,70.5,light rain,1.6381,18.0667,Préfecture de la Likouala
618,Kutum,SD,85.5,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
620,Olinda,BR,73.13,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
622,Denpasar,ID,87.46,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
623,Nola,IT,76.32,overcast clouds,40.922,14.5329,Pamaran Hotel
625,Presidente Medici,BR,70.65,overcast clouds,-11.1753,-61.9014,Oliveira Palace Hotel
626,Loandjili,CG,78.91,broken clouds,-4.7561,11.8578,Résidence ARCHANGE
627,Tomatlan,MX,76.15,broken clouds,19.9333,-105.25,Norma franco
632,Valparai,IN,74.97,overcast clouds,10.3667,76.9667,Hotel Holiday Break
634,Sakaiminato,JP,80.58,broken clouds,35.55,133.2333,味処・民宿 まつや
635,Agua Prieta,MX,71.01,clear sky,31.3,-109.5667,Hotel Real de Agua Prieta
636,Fukue,JP,71.96,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
638,Kailua,US,78.03,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
639,Aginskoye,RU,84.09,clear sky,51.1,114.53,Кочевник
642,Manaure,CO,80.33,overcast clouds,11.7751,-72.4445,Hotel Palaaima
645,Indian Head,US,73.15,clear sky,38.6001,-77.1622,Red Carpet Inn Indian Head
646,Gazanjyk,TM,88.07,clear sky,39.2446,55.5154,Railway motel
651,Korla,CN,87.93,few clouds,41.7597,86.1469,Gulisitan Hotel
655,South Venice,US,78.98,mist,27.0531,-82.4243,"Island Sun Inn & Suites - Venice, Florida Historic Downtown & Beach Getaway"
657,Acajutla,SV,78.3,light rain,13.5928,-89.8275,asi es
660,San Juan De Los Morros,VE,70.14,overcast clouds,9.9115,-67.3538,Hotel La Montaña
665,Conceicao Do Araguaia,BR,77.13,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
666,El Limon,VE,72.0,light rain,10.3059,-67.6321,Campamento Valle Beraca
670,Atbasar,KZ,70.54,broken clouds,51.8,68.3333,"The Ritz-Carlton, Astana"
672,Sakakah,SA,89.17,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
674,Enshi,CN,88.81,overcast clouds,30.3,109.4833,Moevenpick Enshi
676,Mount Isa,AU,73.17,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
677,Chifeng,CN,81.07,scattered clouds,42.2683,118.9636,Junyu Tiancheng Hotel
679,Dahuk,IQ,87.78,clear sky,36.8695,42.994,Parwar Hotel
683,Padang,ID,87.85,scattered clouds,-0.9492,100.3543,Mercure Padang
688,Carutapera,BR,74.55,broken clouds,-1.195,-46.02,Lidera
689,Placido De Castro,BR,70.95,scattered clouds,-10.3353,-67.1856,Hotel Carioca
693,Ubinskoye,RU,71.37,few clouds,55.3068,79.6802,Gostinitsa Siberia
694,Road Town,VG,80.2,overcast clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
696,Ugoofaaru,MV,83.07,overcast clouds,5.6667,73.0,Ungoofaaru Inn
697,Pouebo,NC,70.0,overcast clouds,-20.4,164.5667,Rural Family Home De Pouébo
700,Durres,AL,78.98,overcast clouds,41.3231,19.4414,Palace Hotel & Spa Durrës
702,Isilkul,RU,72.48,clear sky,54.9109,71.2728,Perekrestok Mini-Hotel
703,Basco,PH,82.92,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
704,Dutse,NG,85.82,overcast clouds,11.7594,9.3392,Central Mosque Galamawa
707,Limoeiro Do Ajuru,BR,74.7,scattered clouds,-1.8953,-49.3806,Hotel Dalva
709,Brownsville,US,78.91,clear sky,25.9018,-97.4975,University Inn & Suites
713,Santa Rosalia,MX,78.1,overcast clouds,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
715,Owerri,NG,74.62,light rain,5.4833,7.0304,Donamario
719,Matara,LK,86.61,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
720,Gornyy,RU,72.79,light rain,55.1153,83.9059,Gostinyy Dvor
730,Troitsko-Pechorsk,RU,70.65,scattered clouds,62.7084,56.1964,Pechora Gostinitsa
732,San Policarpo,PH,84.0,overcast clouds,12.1791,125.5072,JM Lodge
735,La Reforma,MX,77.25,clear sky,25.0833,-108.05,Hotel Reforma
