City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Pemba,MZ,2021-06-06 02:57:39,-12.974,40.5178,69.39,78,65,17.09
68,Hobart,AU,2021-06-06 02:57:39,-42.8794,147.3294,54.23,61,75,1.99
69,Pisco,PE,2021-06-06 02:57:39,-13.7,-76.2167,64.45,77,90,4.61
70,Leh,IN,2021-06-06 02:57:40,34.1667,77.5833,52.29,31,83,4.21
71,Klaksvik,FO,2021-06-06 02:57:40,62.2266,-6.589,49.12,96,92,10.8
72,Chifeng,CN,2021-06-06 02:57:40,42.2683,118.9636,75.15,27,1,2.93
73,Busselton,AU,2021-06-06 02:57:40,-33.65,115.3333,62.04,77,79,14.85
74,Oxford,GB,2021-06-06 02:56:59,51.7522,-1.256,59.92,91,100,3.06
75,Peleduy,RU,2021-06-06 02:57:41,59.6289,112.7406,48.94,93,100,5.35
76,Ulladulla,AU,2021-06-06 02:57:41,-35.35,150.4667,66.87,42,6,4.56
77,Maragogi,BR,2021-06-06 02:57:41,-9.0122,-35.2225,75.7,85,2,9.93
78,Asbe Teferi,ET,2021-06-06 02:57:42,9.0833,40.8667,59.52,82,54,6.69
79,Belaya Gora,RU,2021-06-06 02:57:42,68.5333,146.4167,53.24,52,100,26.51
80,Vostok,RU,2021-06-06 02:57:42,46.4856,135.8833,53.13,91,100,2.46
81,Mastic,US,2021-06-06 02:57:43,40.802,-72.8409,82.17,83,81,1.01
82,Georgetown,MY,2021-06-06 02:57:43,5.4112,100.3354,85.95,80,20,3.0
83,Barrow,US,2021-06-06 02:57:43,71.2906,-156.7887,33.82,86,90,9.22
84,Leningradskiy,RU,2021-06-06 02:57:43,69.3833,178.4167,37.85,91,100,13.02
85,Oeiras Do Para,BR,2021-06-06 02:57:44,-2.0031,-49.8544,73.83,92,19,2.64
86,San Patricio,US,2021-06-06 02:57:44,28.017,-97.5169,81.84,84,0,8.03
87,Marienburg,PL,2021-06-06 02:57:44,54.0359,19.0266,47.86,81,0,3.8
88,East London,ZA,2021-06-06 02:57:44,-33.0153,27.9116,55.74,59,0,11.23
89,Atherton,GB,2021-06-06 02:57:45,53.5237,-2.4935,60.3,81,100,1.01
90,Makakilo City,US,2021-06-06 02:57:45,21.3469,-158.0858,80.35,63,90,20.65
91,Fortuna,US,2021-06-06 02:57:45,40.5982,-124.1573,57.9,69,1,1.99
92,Wundanyi,KE,2021-06-06 02:57:46,-3.4019,38.364,55.99,92,42,4.34
93,Mar Del Plata,AR,2021-06-06 02:55:13,-38.0023,-57.5575,48.13,57,0,5.99
94,Luderitz,NA,2021-06-06 02:57:46,-26.6481,15.1594,70.48,30,0,28.74
95,Tura,IN,2021-06-06 02:57:46,25.5198,90.2201,82.47,74,28,4.45
