City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Itarema,BR,-2.9248,-39.9167,74.77,92,14,10.25,few clouds
80,Wagga Wagga,AU,-35.1167,147.3667,52.21,76,90,0.74,overcast clouds
81,Isangel,VU,-19.55,169.2667,72.93,73,100,15.52,overcast clouds
82,Mapiri,BO,-15.25,-68.1667,67.12,99,100,1.21,overcast clouds
83,Chilchota,MX,19.85,-102.1333,57.74,78,98,2.1,overcast clouds
84,Beringovskiy,RU,63.05,179.3167,37.42,92,61,1.32,broken clouds
85,Kapaa,US,22.0752,-159.319,77.32,71,40,3.0,scattered clouds
86,East London,ZA,-33.0153,27.9116,65.34,48,0,2.3,clear sky
87,Balkhash,KZ,46.844,74.9804,75.81,13,0,17.9,clear sky
88,Kabelvag,NO,68.2114,14.4817,58.68,58,8,6.2,clear sky
89,Santa Cruz De La Palma,ES,28.6835,-17.7642,68.14,73,75,13.8,broken clouds
90,Yarmouth,US,41.7057,-70.2286,70.97,85,55,8.99,broken clouds
91,Clyde River,CA,70.4692,-68.5914,32.23,100,90,9.22,light snow
92,Cap Malheureux,MU,-19.9842,57.6142,79.29,73,97,2.08,overcast clouds
93,Luorong,CN,24.4058,109.6086,89.38,49,0,1.43,clear sky
94,Poum,NC,-20.2333,164.0167,73.81,62,100,21.54,overcast clouds
95,Polunochnoye,RU,60.8697,60.4153,74.82,34,89,8.86,overcast clouds
96,Buritis,BR,-15.6178,-46.4233,67.55,74,94,4.23,overcast clouds
97,Cabo San Lucas,MX,22.8909,-109.9124,84.4,58,2,8.75,clear sky
98,Provideniya,RU,64.3833,-173.3,37.47,76,98,2.04,overcast clouds
99,Viedma,AR,-40.8135,-62.9967,43.61,57,31,7.0,scattered clouds
100,Castro,BR,-24.7911,-50.0119,57.22,72,89,3.33,overcast clouds
101,Hobart,AU,-42.8794,147.3294,52.27,79,75,3.0,broken clouds
102,Bethel,US,41.3712,-73.414,74.57,74,1,0.0,clear sky
103,Kerema,PG,-7.9631,145.7785,78.4,90,100,11.63,overcast clouds
104,Ilulissat,GL,69.2167,-51.1,36.21,89,96,6.02,overcast clouds
105,Guerrero Negro,MX,27.9769,-114.0611,61.97,86,100,9.53,overcast clouds
106,Celestun,MX,20.8667,-90.4,80.46,76,68,12.73,broken clouds
107,Whitianga,NZ,-36.8333,175.7,58.01,92,100,13.98,overcast clouds
108,Nuqui,CO,5.7125,-77.2708,78.26,86,100,1.79,overcast clouds
109,Punta,PH,8.9897,125.34,82.18,78,100,10.98,overcast clouds
110,Garowe,SO,8.4054,48.4845,89.64,37,3,23.33,clear sky
111,Bud,US,39.447,-86.1758,67.95,93,97,5.08,overcast clouds
112,Port-Cartier,CA,50.0334,-66.8654,44.74,79,33,5.19,scattered clouds
113,Suluq,LY,31.6682,20.2521,80.06,25,0,5.26,clear sky
114,Vanimo,PG,-2.6741,141.3028,80.15,87,95,2.77,overcast clouds
115,Tasiilaq,GL,65.6145,-37.6368,38.03,96,100,1.5,overcast clouds
116,Meulaboh,ID,4.1363,96.1285,84.65,68,97,5.91,overcast clouds
117,Cotacachi,EC,0.3,-78.2667,56.75,91,64,3.62,broken clouds
118,Carnarvon,AU,-24.8667,113.6333,71.67,56,90,11.5,overcast clouds
119,Nyurba,RU,63.2842,118.3319,57.51,54,98,2.73,overcast clouds
120,Ous,RU,60.9058,61.5186,78.55,28,93,14.45,overcast clouds
121,Altay,CN,47.8667,88.1167,65.82,32,15,7.99,few clouds
